recsyschallenge_v2017_interactions_final_anonym_training_export.user_id	recsyschallenge_v2017_interactions_final_anonym_training_export.item_id	recsyschallenge_v2017_interactions_final_anonym_training_export.interaction_type	recsyschallenge_v2017_interactions_final_anonym_training_export.created_at
2082156	80	1	1484299172
1934123	140	1	1486388563
1320213	240	1	1479409825
297303	310	1	1484817366
1635596	310	1	1486370081
857319	340	1	1485121421
324595	350	1	1484591946
510320	350	1	1484841341
499620	390	1	1479387826
499620	390	1	1479387829
542981	390	1	1479374412
1547885	400	1	1478636674
1778811	460	1	1483869729
1705184	460	1	1484055045
376239	470	1	1485114289
241005	500	1	1478519143
321946	560	4	1484925131
1300778	560	4	1484302470
1555094	560	4	1484592137
1127372	590	1	1478529050
1279133	600	1	1479376025
303861	600	1	1479229329
145831	600	1	1479069879
262924	600	1	1479569848
262924	600	1	1479487348
1433734	600	1	1479145043
1458260	600	1	1479036893
2296210	600	1	1478937206
413650	600	2	1478946404
413650	600	1	1478946390
1973070	610	1	1485842486
1973070	610	1	1483611557
1148881	610	1	1483525324
1096201	610	1	1484209397
1366561	610	1	1485802510
1701797	610	1	1483603625
1701797	610	2	1483603622
1701797	610	1	1483388160
1701797	610	1	1483603609
772863	610	1	1483513837
1341483	680	1	1486104601
1636343	680	1	1485852804
1636343	680	2	1485852887
1341483	680	1	1485841906
1636343	680	1	1485875733
2335852	680	1	1486377314
287404	680	1	1485865795
287404	680	1	1485889064
287404	680	2	1486079907
287404	680	1	1485911258
287404	680	1	1486079751
287404	680	1	1485939479
148471	760	1	1485364024
1656223	760	1	1484586300
1617246	830	1	1485846306
1243041	830	1	1484061050
328721	830	1	1483512415
1899661	890	1	1485895914
2017611	890	1	1484229591
61911	890	4	1484425678
2017611	890	1	1483688368
2196101	890	1	1483468586
1122323	890	1	1485618386
26403	890	1	1483435299
794533	890	1	1484200257
518323	890	1	1483737789
1522853	890	1	1483425378
518323	890	1	1485272317
794533	890	1	1485285747
1122323	890	1	1485618345
717393	890	1	1484087433
108663	890	1	1484048442
2262873	890	1	1483478827
794533	890	1	1483728759
518323	890	3	1483473392
518323	890	1	1483473375
518323	890	1	1483470294
1269153	890	1	1484209974
2151193	890	1	1483538714
794533	890	2	1484200331
1703832	890	1	1484025156
69942	890	1	1485414517
1716782	890	1	1485846133
953252	890	1	1486373619
192202	890	1	1484733391
733238	890	1	1484081794
856138	890	4	1483611369
702758	890	1	1483605457
1286028	890	1	1484681814
2315488	890	1	1483423530
2114228	890	1	1484084866
702758	890	4	1483609071
1866918	890	1	1485513339
1866918	890	1	1485513416
1866918	890	1	1485513429
1866918	890	1	1486042497
1866918	890	1	1484919294
1866918	890	1	1483611417
985295	890	4	1485472450
856885	890	1	1483434450
943205	890	1	1484478639
943205	890	1	1485530217
856885	890	1	1483434513
856885	890	1	1485941228
390626	890	1	1484595047
2229006	890	1	1486027756
1339296	890	1	1483431452
1934326	890	1	1484416284
1813026	890	1	1486135434
1813026	890	1	1485880002
2190176	890	1	1486119193
1054626	890	1	1485130944
799499	890	1	1483514812
799499	890	1	1483514794
1883859	890	1	1484036927
1135849	890	1	1485185693
1135849	890	1	1485185833
1105119	890	1	1484727184
799499	890	1	1484723520
78697	890	1	1483559618
1220057	890	2	1485241176
1220057	890	1	1485241114
223107	890	1	1483466939
511127	890	4	1484821781
78697	890	1	1484346765
2128097	890	1	1485171665
1607817	890	4	1484126595
169767	890	1	1484038992
169767	890	1	1484637563
421317	890	4	1483449509
421317	890	1	1483445814
78697	890	1	1483457102
1509720	890	1	1483615906
1134910	890	1	1484133444
755700	890	1	1483739753
1496030	890	1	1485679991
828620	890	1	1484822564
2005110	890	1	1483464127
16170	890	1	1485334313
985240	890	1	1484042633
1054550	890	1	1485583460
1134910	890	1	1484133411
985240	890	1	1484042336
232940	890	1	1486385308
1054550	890	1	1485751021
232940	890	4	1484560432
1727644	890	1	1485268283
1565614	890	1	1485432259
1917634	890	1	1485251798
1108204	890	1	1483428588
1917634	890	1	1485252417
848937	930	1	1479655537
3003	930	4	1479670079
3003	930	1	1479666477
444531	930	4	1479654286
784422	930	4	1479577275
1735926	930	1	1479508695
19530	930	4	1479575426
1904647	1050	1	1479155150
231836	1070	4	1484901417
75034	1070	1	1484157913
1898760	1130	1	1483704230
1275656	1190	1	1485191758
1169503	1190	1	1485215065
472504	1190	1	1485419414
472504	1190	3	1485419881
2168184	1300	1	1478716513
2168184	1300	1	1478716543
2168184	1300	1	1478641327
1617520	1300	1	1478727940
1194910	1300	1	1478535412
2083480	1300	4	1478512355
342160	1300	4	1478541976
1496163	1300	1	1478654095
100573	1300	1	1478640477
332823	1300	4	1478635875
1010013	1300	1	1478601846
2118593	1300	4	1478591908
425166	1300	4	1478692808
518546	1300	4	1478618809
908716	1300	1	1478686013
1318076	1300	1	1478543631
1380536	1300	4	1478633936
1790391	1300	1	1478586529
1790391	1300	1	1478586533
534181	1300	4	1478558670
1790391	1300	1	1478586462
1790391	1300	1	1478586542
1762808	1300	1	1478628645
876298	1300	1	1478602232
887357	1300	1	1478620646
2023087	1300	4	1478705128
1933812	1300	1	1478623057
605062	1300	4	1478686270
378202	1300	1	1478544859
1900232	1300	4	1478505036
1943445	1300	4	1478518230
499145	1300	1	1478517121
2091255	1300	4	1478549814
69769	1300	4	1478531654
2010569	1300	4	1478508116
657599	1300	4	1478511594
30169	1310	1	1483722614
30169	1310	2	1483722716
243098	1310	1	1484058561
413022	1310	2	1483525765
413022	1310	1	1483525564
1756210	1310	1	1483436545
1993455	1400	1	1478787530
2275315	1410	1	1484553363
1639616	1410	1	1484758368
1168572	1410	1	1485260545
1070275	1420	1	1479454597
931741	1420	2	1478856903
931741	1420	1	1478856823
1751366	1440	1	1486229004
1406220	1440	1	1486373539
1449417	1560	1	1483515035
1521497	1600	4	1485807815
1683733	1600	1	1484161986
633343	1600	1	1485445618
460306	1600	1	1483963274
913916	1600	1	1483991372
2108626	1600	1	1486372500
2153646	1600	1	1485940444
2108626	1600	1	1486372557
780011	1600	1	1485044237
2006981	1600	1	1485249337
780011	1600	1	1485044222
2252748	1600	1	1484989554
1378864	1600	1	1483456574
1590574	1600	1	1486144607
1622200	1600	4	1484150849
113940	1600	1	1484913412
1622200	1600	1	1484147190
2200575	1630	1	1486330570
816225	1690	1	1484673226
489305	1690	1	1484335546
767835	1690	1	1485345707
1154725	1690	1	1484681542
1096465	1690	1	1484774605
732358	1690	1	1484384087
794348	1690	1	1484847505
732358	1690	1	1484383795
987718	1690	1	1484502754
987718	1690	1	1484502822
1756908	1690	1	1484324756
732358	1690	1	1484591676
1407618	1690	1	1485378919
732358	1690	1	1484383925
1884967	1690	1	1485290027
1884967	1690	4	1485293787
28007	1690	1	1485901374
1687857	1690	1	1484382270
1397107	1690	1	1484829119
1168117	1690	1	1484316366
1066357	1690	1	1485271168
1411447	1690	1	1485942352
1397107	1690	1	1484816584
1066357	1690	1	1485271222
1024577	1690	1	1485599507
928637	1690	1	1486239748
1397107	1690	1	1484829103
1397107	1690	1	1484816593
1914459	1690	1	1484479618
294249	1690	1	1484415898
515212	1690	1	1485940132
264872	1690	1	1484910394
264872	1690	2	1484668351
207442	1690	1	1484464278
207442	1690	1	1484464336
1265442	1690	1	1485018573
1630942	1690	1	1484724205
264872	1690	1	1484668300
515212	1690	1	1485940106
1330432	1690	1	1486030363
515212	1690	1	1484454630
1330432	1690	1	1486030392
264872	1690	1	1484668487
515212	1690	1	1484828235
1945382	1690	1	1484304900
249531	1690	1	1484411589
1430491	1690	1	1484915774
1625573	1690	1	1485948469
145283	1690	1	1484667318
145283	1690	1	1484667368
146356	1690	2	1484569786
1348496	1690	1	1484406773
1839996	1690	1	1485184607
146356	1690	1	1484569720
1348496	1690	1	1484406721
1498726	1690	1	1485270706
1389544	1690	1	1484591987
965274	1690	1	1484653046
1307844	1690	1	1485838791
143564	1690	1	1485933524
1570274	1690	1	1484679599
1389544	1690	1	1484591948
527990	1700	1	1484421788
1623236	1700	1	1484028444
1496065	1700	1	1484039726
1900573	1700	1	1485375206
1036533	1760	1	1479634481
2151096	1760	1	1485101145
2220840	1760	1	1479301236
2072193	1810	1	1478872053
2072193	1810	1	1478871841
2072193	1810	1	1478871847
978829	1810	1	1483475752
978829	1810	1	1483475774
310789	1810	4	1478682641
605353	1830	1	1484113328
605353	1830	1	1483961603
605353	1830	1	1483961804
1790848	1830	1	1483950330
1790848	1830	3	1483950415
834381	1830	1	1484128080
1678333	1880	4	1485693078
740739	1880	1	1483530030
1631396	1880	4	1484227373
914542	1880	1	1484212279
1907452	1880	2	1485834216
599244	1880	1	1483453511
803720	1880	1	1483377458
803720	1880	3	1483377509
803720	1880	1	1485860237
803720	1880	3	1485860254
1817059	1930	4	1479480498
1730061	1930	1	1479446472
117568	1930	1	1483488628
117568	1930	4	1483492325
2348915	1930	1	1483604807
2348915	1930	3	1483604831
2348915	1930	3	1483605709
276734	1960	1	1478775226
864940	1980	1	1478627928
1906205	1980	1	1479185685
1906205	1980	1	1479185823
1086395	1980	1	1478530702
1024179	1980	1	1478764006
2192653	1980	1	1478775275
1356851	1980	1	1478605140
1356851	1980	1	1479137509
1356851	1980	1	1486381251
1779781	2010	2	1484689425
1779781	2010	1	1484689421
1779781	2010	1	1484689314
2295781	2010	4	1484734651
98551	2010	1	1484839390
883911	2010	4	1484817920
1368719	2010	4	1484776435
1133369	2010	1	1485205750
1133369	2010	1	1485205684
1628379	2010	4	1484676377
707695	2010	1	1484684493
1582585	2010	1	1484599052
707695	2010	1	1484684417
1232615	2010	1	1484587681
1232615	2010	2	1484587034
418852	2010	4	1484819546
2177	2010	1	1484750446
530837	2010	1	1484591398
1275197	2010	1	1485259939
1051123	2010	1	1484988486
2195803	2010	4	1484728114
1852526	2010	1	1484636583
206066	2010	4	1485116885
1852526	2010	1	1484636729
695398	2010	1	1484672183
695398	2010	1	1484672226
1657828	2010	4	1484642877
1349744	2010	1	1484587597
17914	2010	1	1485165995
32624	2010	1	1484861268
1459000	2010	4	1484832033
650405	2030	1	1485358247
442481	2040	1	1479395693
1031688	2090	1	1479109419
1287959	2090	1	1478865787
2271822	2090	1	1479198593
922194	2090	1	1478811940
381096	2110	1	1484637532
1544863	2150	1	1484286572
951113	2210	1	1485192984
2087348	2210	3	1484644824
2087348	2210	3	1485808417
2087348	2210	1	1485808259
2087348	2210	2	1484645031
2087348	2210	1	1485864955
2087348	2210	1	1484644171
495302	2210	1	1484719753
562651	2220	4	1479419707
233338	2220	4	1479202533
1444638	2220	4	1479505165
1267708	2220	4	1479113815
1209996	2220	4	1479386353
780504	2220	1	1478557474
1695184	2250	1	1484558270
2256864	2250	1	1484552307
1546300	2250	4	1485947944
2230100	2250	1	1485950530
1546300	2250	3	1485852205
1546300	2250	1	1484639520
1546300	2250	1	1485852156
1304562	2250	4	1485850673
750283	2250	1	1484607123
750283	2250	1	1484607211
2106368	2250	4	1485859962
1666668	2250	1	1484637126
1963594	2270	1	1485771087
1963594	2270	1	1483969067
1606346	2380	1	1478617696
1606346	2380	1	1479222030
382350	2380	1	1478898212
889755	2390	4	1486029958
1686251	2390	1	1485848411
1217528	2400	4	1483614588
427392	2400	1	1483603678
1546777	2400	1	1483636982
204713	2400	1	1483623677
106050	2400	4	1483617859
1099183	2440	1	1479117935
1373788	2440	1	1479139895
446375	2440	1	1479641768
2339605	2440	1	1483368669
957502	2440	1	1478893188
1899718	2490	1	1483970373
1803969	2550	1	1479135664
819703	2740	1	1484391414
491120	2740	1	1484638529
156364	2750	1	1484119695
1040799	2750	1	1484138809
1687166	2840	4	1479200622
1830341	2870	1	1484295672
1401869	2900	1	1486100608
820113	2900	1	1486045003
865708	2900	1	1486385757
805118	2900	1	1486123810
865708	2900	1	1486112666
304872	2900	1	1486145122
1307412	2900	1	1486237281
386932	2900	1	1486045303
386932	2900	1	1486045341
1841889	2950	1	1484840684
1447442	2980	1	1483523410
1447442	2980	1	1483523412
1369741	2980	1	1483515617
444233	2980	1	1483620123
448740	2980	1	1483518236
448740	2980	1	1483518240
2339694	2980	1	1483616193
1963594	3010	1	1485771127
1139566	3010	1	1485435373
746236	3010	4	1485978444
746236	3010	1	1485974834
885697	3010	1	1485436086
2222417	3010	1	1485620521
258210	3010	1	1485722915
598900	3010	1	1485531902
734183	3030	1	1484663090
2067516	3030	4	1484313439
1111406	3040	4	1486395984
41167	3040	1	1486158965
2315221	3040	1	1483455157
2112418	3040	4	1485507349
1535518	3110	1	1478633001
1443067	3110	1	1478620525
367866	3110	1	1478618956
2200429	3110	1	1478605137
1086380	3110	1	1478604192
1182134	3120	1	1485361864
946114	3150	2	1484737640
946114	3150	1	1484737604
946114	3150	1	1484736960
1851970	3150	1	1484401181
186830	3150	1	1484649676
186830	3150	3	1484649693
62869	3150	1	1486123111
62869	3150	1	1484910747
93056	3150	1	1485921171
1953217	3150	1	1485859508
1953217	3150	1	1485859329
337838	3150	1	1486099136
1322242	3150	1	1485373696
1050442	3150	1	1484376890
2160122	3150	1	1485201033
1211383	3150	1	1484400167
1980935	3150	1	1485859905
1117855	3150	1	1484426750
75186	3170	1	1478507017
1164418	3220	4	1485607708
819903	3220	1	1484741771
819903	3220	1	1484401293
819903	3220	1	1484400081
819903	3220	1	1485020569
819903	3220	1	1484401305
819903	3220	1	1484167486
1289733	3220	1	1484513876
